filename,blue_percentage,black_percentage
762.webp,0.0228,89.9224
763.webp,0.0116,89.9235
764.webp,1.3153,90.0370
765.webp,0.0278,89.9206
766.webp,0.0077,89.9206
767.webp,0.0093,89.9362
768.webp,0.0068,89.9322
769.webp,0.0232,89.9264
77.webp,0.0247,89.9286
770.webp,0.0095,89.9230
771.webp,0.0182,89.9204
772.webp,2.0966,90.0349
773.webp,0.0211,89.9234
774.webp,0.0288,90.1582
775.webp,0.0122,89.9320
776.webp,0.0122,89.9255
777.webp,0.0097,90.0413
778.webp,0.0073,89.9317
779.webp,0.0209,89.9256
78.webp,0.0175,89.9209
780.webp,0.0092,89.9237
781.webp,2.1037,89.9228
782.webp,0.0203,89.9207
783.webp,0.0279,90.0403
784.webp,0.0185,89.9173
785.webp,0.0110,89.9269
786.webp,0.0437,89.9177
787.webp,0.0231,89.9183
788.webp,0.0090,89.9266
789.webp,0.0084,89.9277
79.webp,0.0162,90.0392
790.webp,2.1485,90.1543
791.webp,0.0113,89.9259
792.webp,2.1022,89.9176
793.webp,0.0132,89.9260
794.webp,0.0186,90.0334
795.webp,0.0106,90.0475
796.webp,0.0213,89.9207
797.webp,0.0318,89.9188
798.webp,0.0274,89.9214
799.webp,0.0158,89.9219
8.webp,0.0256,89.9233
80.webp,0.0180,89.9186
800.webp,0.0065,89.9286
801.webp,0.0215,89.9214
802.webp,0.0222,89.9238
803.webp,0.0196,89.9182
804.webp,0.0115,90.0424
805.webp,0.0123,89.9271
806.webp,0.0082,89.9368
807.webp,0.0364,89.9161
808.webp,0.1707,89.9189
809.webp,0.0143,89.9251
81.webp,0.0131,89.9202
810.webp,0.0333,90.1531
811.webp,0.0080,89.9301
812.webp,0.0138,89.9248
813.webp,0.0348,89.9176
814.webp,0.0137,89.9229
815.webp,0.0076,89.9290
816.webp,0.0079,90.0336
817.webp,0.0097,89.9356
818.webp,0.0272,89.9189
819.webp,0.0163,90.0339
82.webp,0.0223,89.9183
820.webp,0.2639,90.0372
821.webp,0.0791,89.9174
822.webp,0.0151,89.9254
823.webp,0.0192,90.0366
824.webp,0.0274,90.0379
825.webp,0.0246,89.9166
826.webp,0.2067,89.9127
827.webp,0.0245,89.9235
828.webp,0.0207,90.1561
829.webp,0.0113,90.1571
83.webp,0.0137,89.9267
830.webp,0.0111,89.9188
831.webp,0.0091,90.0395
832.webp,0.0183,89.9218
833.webp,0.0155,90.0377
834.webp,0.0199,90.1574
835.webp,0.0283,89.9161
836.webp,0.0217,89.9204
837.webp,0.0212,89.9240
838.webp,0.0276,89.9195
839.webp,0.0128,90.0346
84.webp,0.0346,89.9191
840.webp,0.0124,89.9252
841.webp,0.0324,89.9160
842.webp,0.0096,89.9273
843.webp,1.8397,90.0383
844.webp,0.0225,90.1529
845.webp,0.0113,89.9371
846.webp,0.3975,89.9184
847.webp,0.0271,90.0401
848.webp,0.0077,90.0408
849.webp,0.0160,90.0356
85.webp,0.0110,89.9250
850.webp,0.0066,89.9320
851.webp,0.0271,89.9172
852.webp,0.0225,89.9231
853.webp,0.0267,90.1537
854.webp,0.0205,89.9209
855.webp,0.0216,90.0375
856.webp,0.3886,89.9143
857.webp,0.1686,90.0385
858.webp,0.0245,89.9222
859.webp,0.0270,89.9228
86.webp,0.0075,89.9336
860.webp,0.0306,89.9145
861.webp,0.0061,89.9346
862.webp,0.0069,89.9319
863.webp,0.0447,89.9227
864.webp,0.0117,89.9225
865.webp,0.0229,89.9234
866.webp,0.0224,89.9228
867.webp,0.0396,90.1538
868.webp,0.0165,89.9215
869.webp,0.0355,89.9191
87.webp,0.0169,89.9259
870.webp,0.6300,89.9171
871.webp,0.0143,89.9252
872.webp,0.0122,90.0368
873.webp,0.0098,89.9305
874.webp,0.0078,89.9304
875.webp,0.0299,89.9245
876.webp,1.1054,89.9163
877.webp,0.0155,89.9226
878.webp,0.1530,89.9163
879.webp,0.0127,89.9267
88.webp,0.0091,89.9292
880.webp,1.0984,89.9169
881.webp,0.0201,89.9195
882.webp,1.3166,90.0320
883.webp,0.0117,89.9215
884.webp,0.0111,89.9325
885.webp,2.1579,90.1484
886.webp,0.0283,89.9208
887.webp,0.0434,89.9188
888.webp,0.0223,89.9217
889.webp,0.0146,90.0411
89.webp,0.0251,89.9181
890.webp,0.0222,89.9250
891.webp,0.0113,89.9234
892.webp,0.0208,89.9235
893.webp,0.0217,90.0360
894.webp,0.0242,89.9198
895.webp,0.1143,89.9147
896.webp,0.0070,89.9273
897.webp,0.0139,89.9231
898.webp,0.1574,89.9150
899.webp,0.0078,89.9328
